center,left,right,steering,throttle,brake,speed
IMG\center_2021_03_12_12_57_28_087.jpg,IMG\left_2021_03_12_12_57_28_087.jpg,IMG\right_2021_03_12_12_57_28_087.jpg,0,1,0,15.63517
IMG\center_2021_03_12_12_57_28_156.jpg,IMG\left_2021_03_12_12_57_28_156.jpg,IMG\right_2021_03_12_12_57_28_156.jpg,0,1,0,16.33581
IMG\center_2021_03_12_12_57_28_224.jpg,IMG\left_2021_03_12_12_57_28_224.jpg,IMG\right_2021_03_12_12_57_28_224.jpg,0,1,0,17.1667
IMG\center_2021_03_12_12_57_28_295.jpg,IMG\left_2021_03_12_12_57_28_295.jpg,IMG\right_2021_03_12_12_57_28_295.jpg,0,1,0,17.76941
IMG\center_2021_03_12_12_57_28_363.jpg,IMG\left_2021_03_12_12_57_28_363.jpg,IMG\right_2021_03_12_12_57_28_363.jpg,-0.2,1,0,18.58858
IMG\center_2021_03_12_12_57_28_432.jpg,IMG\left_2021_03_12_12_57_28_432.jpg,IMG\right_2021_03_12_12_57_28_432.jpg,-0.35,1,0,19.15779
IMG\center_2021_03_12_12_57_28_504.jpg,IMG\left_2021_03_12_12_57_28_504.jpg,IMG\right_2021_03_12_12_57_28_504.jpg,0,1,0,19.91294
IMG\center_2021_03_12_12_57_28_571.jpg,IMG\left_2021_03_12_12_57_28_571.jpg,IMG\right_2021_03_12_12_57_28_571.jpg,0,1,0,20.49944
IMG\center_2021_03_12_12_57_28_637.jpg,IMG\left_2021_03_12_12_57_28_637.jpg,IMG\right_2021_03_12_12_57_28_637.jpg,0,1,0,21.1202
IMG\center_2021_03_12_12_57_28_704.jpg,IMG\left_2021_03_12_12_57_28_704.jpg,IMG\right_2021_03_12_12_57_28_704.jpg,0,1,0,21.91554
IMG\center_2021_03_12_12_57_28_772.jpg,IMG\left_2021_03_12_12_57_28_772.jpg,IMG\right_2021_03_12_12_57_28_772.jpg,0,1,0,22.49742
