center,left,right,steering,throttle,brake,speed
IMG\center_2021_03_06_16_58_26_075.jpg,IMG\left_2021_03_06_16_58_26_075.jpg,IMG\right_2021_03_06_16_58_26_075.jpg,0,0,0,7.195883E-05
IMG\center_2021_03_06_16_58_26_144.jpg,IMG\left_2021_03_06_16_58_26_144.jpg,IMG\right_2021_03_06_16_58_26_144.jpg,0,0,0,7.321985E-05
IMG\center_2021_03_06_16_58_26_214.jpg,IMG\left_2021_03_06_16_58_26_214.jpg,IMG\right_2021_03_06_16_58_26_214.jpg,0,0,0,9.6439E-05
IMG\center_2021_03_06_16_58_26_284.jpg,IMG\left_2021_03_06_16_58_26_284.jpg,IMG\right_2021_03_06_16_58_26_284.jpg,0,0,0,0.0001215218
IMG\center_2021_03_06_16_58_26_352.jpg,IMG\left_2021_03_06_16_58_26_352.jpg,IMG\right_2021_03_06_16_58_26_352.jpg,0,0,0,0.0001375566
IMG\center_2021_03_06_16_58_26_421.jpg,IMG\left_2021_03_06_16_58_26_421.jpg,IMG\right_2021_03_06_16_58_26_421.jpg,0,0,0,0.0001614422
IMG\center_2021_03_06_16_58_26_489.jpg,IMG\left_2021_03_06_16_58_26_489.jpg,IMG\right_2021_03_06_16_58_26_489.jpg,0,0,0,0.0002274444
IMG\center_2021_03_06_16_58_26_557.jpg,IMG\left_2021_03_06_16_58_26_557.jpg,IMG\right_2021_03_06_16_58_26_557.jpg,0,0.1231401,0,0.001785907
IMG\center_2021_03_06_16_58_26_627.jpg,IMG\left_2021_03_06_16_58_26_627.jpg,IMG\right_2021_03_06_16_58_26_627.jpg,0,0.3577158,0,0.2763804
IMG\center_2021_03_06_16_58_26_693.jpg,IMG\left_2021_03_06_16_58_26_693.jpg,IMG\right_2021_03_06_16_58_26_693.jpg,0,0.53496,0,0.5833409
IMG\center_2021_03_06_16_58_26_760.jpg,IMG\left_2021_03_06_16_58_26_760.jpg,IMG\right_2021_03_06_16_58_26_760.jpg,0,0.7147191,0,0.9921194
IMG\center_2021_03_06_16_58_26_828.jpg,IMG\left_2021_03_06_16_58_26_828.jpg,IMG\right_2021_03_06_16_58_26_828.jpg,0,0.9608217,0,1.798657
IMG\center_2021_03_06_16_58_26_894.jpg,IMG\left_2021_03_06_16_58_26_894.jpg,IMG\right_2021_03_06_16_58_26_894.jpg,0,1,0,2.442078
IMG\center_2021_03_06_16_58_26_962.jpg,IMG\left_2021_03_06_16_58_26_962.jpg,IMG\right_2021_03_06_16_58_26_962.jpg,0,1,0,3.136741
IMG\center_2021_03_06_16_58_27_029.jpg,IMG\left_2021_03_06_16_58_27_029.jpg,IMG\right_2021_03_06_16_58_27_029.jpg,0,1,0,4.073119
IMG\center_2021_03_06_16_58_27_098.jpg,IMG\left_2021_03_06_16_58_27_098.jpg,IMG\right_2021_03_06_16_58_27_098.jpg,0,1,0,4.773645
IMG\center_2021_03_06_16_58_27_164.jpg,IMG\left_2021_03_06_16_58_27_164.jpg,IMG\right_2021_03_06_16_58_27_164.jpg,0,1,0,5.469904
IMG\center_2021_03_06_16_58_27_232.jpg,IMG\left_2021_03_06_16_58_27_232.jpg,IMG\right_2021_03_06_16_58_27_232.jpg,0,1,0,6.392068
IMG\center_2021_03_06_16_58_27_300.jpg,IMG\left_2021_03_06_16_58_27_300.jpg,IMG\right_2021_03_06_16_58_27_300.jpg,0,1,0,7.07882
IMG\center_2021_03_06_16_58_27_369.jpg,IMG\left_2021_03_06_16_58_27_369.jpg,IMG\right_2021_03_06_16_58_27_369.jpg,0,1,0,7.988509
IMG\center_2021_03_06_16_58_27_438.jpg,IMG\left_2021_03_06_16_58_27_438.jpg,IMG\right_2021_03_06_16_58_27_438.jpg,0,1,0,8.666036
IMG\center_2021_03_06_16_58_27_506.jpg,IMG\left_2021_03_06_16_58_27_506.jpg,IMG\right_2021_03_06_16_58_27_506.jpg,0,1,0,9.563246
IMG\center_2021_03_06_16_58_27_572.jpg,IMG\left_2021_03_06_16_58_27_572.jpg,IMG\right_2021_03_06_16_58_27_572.jpg,0,0.899086,0,10.20513
IMG\center_2021_03_06_16_58_27_641.jpg,IMG\left_2021_03_06_16_58_27_641.jpg,IMG\right_2021_03_06_16_58_27_641.jpg,0,0.7183225,0,10.72285
IMG\center_2021_03_06_16_58_27_709.jpg,IMG\left_2021_03_06_16_58_27_709.jpg,IMG\right_2021_03_06_16_58_27_709.jpg,-0.009433962,0.4704388,0,11.20389
IMG\center_2021_03_06_16_58_27_777.jpg,IMG\left_2021_03_06_16_58_27_777.jpg,IMG\right_2021_03_06_16_58_27_777.jpg,-0.03773585,0.2982316,0,11.63432
IMG\center_2021_03_06_16_58_27_844.jpg,IMG\left_2021_03_06_16_58_27_844.jpg,IMG\right_2021_03_06_16_58_27_844.jpg,-0.04716982,0.12031,0,11.55848
IMG\center_2021_03_06_16_58_27_911.jpg,IMG\left_2021_03_06_16_58_27_911.jpg,IMG\right_2021_03_06_16_58_27_911.jpg,-0.05660377,0,0,11.72482
IMG\center_2021_03_06_16_58_27_981.jpg,IMG\left_2021_03_06_16_58_27_981.jpg,IMG\right_2021_03_06_16_58_27_981.jpg,-0.06603774,0,0,11.36246
IMG\center_2021_03_06_16_58_28_048.jpg,IMG\left_2021_03_06_16_58_28_048.jpg,IMG\right_2021_03_06_16_58_28_048.jpg,-0.08490566,0.1557372,0,11.10956
IMG\center_2021_03_06_16_58_28_119.jpg,IMG\left_2021_03_06_16_58_28_119.jpg,IMG\right_2021_03_06_16_58_28_119.jpg,-0.09433963,0.3319302,0,11.28548
IMG\center_2021_03_06_16_58_28_188.jpg,IMG\left_2021_03_06_16_58_28_188.jpg,IMG\right_2021_03_06_16_58_28_188.jpg,-0.1037736,0.5737632,0,11.59679
IMG\center_2021_03_06_16_58_28_254.jpg,IMG\left_2021_03_06_16_58_28_254.jpg,IMG\right_2021_03_06_16_58_28_254.jpg,-0.1037736,0.7510316,0,12.09739
IMG\center_2021_03_06_16_58_28_321.jpg,IMG\left_2021_03_06_16_58_28_321.jpg,IMG\right_2021_03_06_16_58_28_321.jpg,-0.1037736,0.7955789,0,12.61607
IMG\center_2021_03_06_16_58_28_392.jpg,IMG\left_2021_03_06_16_58_28_392.jpg,IMG\right_2021_03_06_16_58_28_392.jpg,-0.08490566,0.5532158,0,13.35058
IMG\center_2021_03_06_16_58_28_459.jpg,IMG\left_2021_03_06_16_58_28_459.jpg,IMG\right_2021_03_06_16_58_28_459.jpg,-0.0754717,0.3701684,0,13.52169
IMG\center_2021_03_06_16_58_28_529.jpg,IMG\left_2021_03_06_16_58_28_529.jpg,IMG\right_2021_03_06_16_58_28_529.jpg,-0.04716982,0.1293293,0,13.56195
IMG\center_2021_03_06_16_58_28_598.jpg,IMG\left_2021_03_06_16_58_28_598.jpg,IMG\right_2021_03_06_16_58_28_598.jpg,-0.03773585,0.0435426,0,13.51495
IMG\center_2021_03_06_16_58_28_667.jpg,IMG\left_2021_03_06_16_58_28_667.jpg,IMG\right_2021_03_06_16_58_28_667.jpg,-0.01886792,0.281361,0,13.578
IMG\center_2021_03_06_16_58_28_734.jpg,IMG\left_2021_03_06_16_58_28_734.jpg,IMG\right_2021_03_06_16_58_28_734.jpg,0,0.4641432,0,13.78668
IMG\center_2021_03_06_16_58_28_802.jpg,IMG\left_2021_03_06_16_58_28_802.jpg,IMG\right_2021_03_06_16_58_28_802.jpg,0,0.6461903,0,14.0687
IMG\center_2021_03_06_16_58_28_869.jpg,IMG\left_2021_03_06_16_58_28_869.jpg,IMG\right_2021_03_06_16_58_28_869.jpg,0,0.880037,0,14.72087
IMG\center_2021_03_06_16_58_28_937.jpg,IMG\left_2021_03_06_16_58_28_937.jpg,IMG\right_2021_03_06_16_58_28_937.jpg,0,1,0,15.4234
IMG\center_2021_03_06_16_58_29_007.jpg,IMG\left_2021_03_06_16_58_29_007.jpg,IMG\right_2021_03_06_16_58_29_007.jpg,0,1,0,16.23303
IMG\center_2021_03_06_16_58_29_073.jpg,IMG\left_2021_03_06_16_58_29_073.jpg,IMG\right_2021_03_06_16_58_29_073.jpg,0.009433962,1,0,16.8675
IMG\center_2021_03_06_16_58_29_143.jpg,IMG\left_2021_03_06_16_58_29_143.jpg,IMG\right_2021_03_06_16_58_29_143.jpg,0.01886792,1,0,17.4952
IMG\center_2021_03_06_16_58_29_212.jpg,IMG\left_2021_03_06_16_58_29_212.jpg,IMG\right_2021_03_06_16_58_29_212.jpg,0.01886792,0.9147916,0,18.31619
IMG\center_2021_03_06_16_58_29_280.jpg,IMG\left_2021_03_06_16_58_29_280.jpg,IMG\right_2021_03_06_16_58_29_280.jpg,0.01886792,0.7320486,0,18.80252
IMG\center_2021_03_06_16_58_29_347.jpg,IMG\left_2021_03_06_16_58_29_347.jpg,IMG\right_2021_03_06_16_58_29_347.jpg,0.01886792,0.4960954,0,19.24352
IMG\center_2021_03_06_16_58_29_414.jpg,IMG\left_2021_03_06_16_58_29_414.jpg,IMG\right_2021_03_06_16_58_29_414.jpg,0.01886792,0.3142815,0,19.41519
IMG\center_2021_03_06_16_58_29_484.jpg,IMG\left_2021_03_06_16_58_29_484.jpg,IMG\right_2021_03_06_16_58_29_484.jpg,0.01886792,0.137808,0,19.45783
IMG\center_2021_03_06_16_58_29_554.jpg,IMG\left_2021_03_06_16_58_29_554.jpg,IMG\right_2021_03_06_16_58_29_554.jpg,0.01886792,0,0,19.33338
IMG\center_2021_03_06_16_58_29_621.jpg,IMG\left_2021_03_06_16_58_29_621.jpg,IMG\right_2021_03_06_16_58_29_621.jpg,0.01886792,0,0,19.21595
IMG\center_2021_03_06_16_58_29_689.jpg,IMG\left_2021_03_06_16_58_29_689.jpg,IMG\right_2021_03_06_16_58_29_689.jpg,0.01886792,0,0,19.06087
IMG\center_2021_03_06_16_58_29_757.jpg,IMG\left_2021_03_06_16_58_29_757.jpg,IMG\right_2021_03_06_16_58_29_757.jpg,0.01886792,0,0,18.94345
IMG\center_2021_03_06_16_58_29_824.jpg,IMG\left_2021_03_06_16_58_29_824.jpg,IMG\right_2021_03_06_16_58_29_824.jpg,0.01886792,0,0,18.83044
IMG\center_2021_03_06_16_58_29_892.jpg,IMG\left_2021_03_06_16_58_29_892.jpg,IMG\right_2021_03_06_16_58_29_892.jpg,0.01886792,0,0,18.6786
IMG\center_2021_03_06_16_58_29_961.jpg,IMG\left_2021_03_06_16_58_29_961.jpg,IMG\right_2021_03_06_16_58_29_961.jpg,0.01886792,0,0,18.55888
